"Factor","GroupingCategory","Filename","GroupValue","<-100","-100 to -10","-10 to -1","-1 to 0","0 to 1",">1","b","S_d","p_b","S_b","alpha","eps_an","criteria","pretty_names","SD","FactorMean","NumGenes","dS","Variable","source","pi4","pi0","pi04","GroupingVariable","MutationRate","Ne"
"NetworkConnectivity10polcounts8","NetworkConnectivity10polcounts","NetworkConnectivity10polcounts8_91.8010810810811_PolyDFE.output","91.8010810810811","0.500254785597424","0.22734297139541","0.125241120906377","0.147078311680789","7.29681848924413e-05","9.8422351075822e-06","0.26797136991","-501.00819627","8.281042e-05","0.4695119882","0.000683","0.00612978059","0.00025","Connectivity","10.1808041710066","91.7332613390929","926","0.154886344401119","91.8010810810811","PolyDFE.input","0.00653445262694095","0.00145744204003563","0.223039652017176","NetworkConnectivity10polcounts","2.49816684517934e-08","65392.4760825157"
"NetworkConnectivity10polcounts9","NetworkConnectivity10polcounts","NetworkConnectivity10polcounts9_146.225806451613_PolyDFE.output","146.225806451613","0.498951286835224","0.27172777073822","0.126633195634339","0.102540733572217","0.000102835411384339","4.4177808615653e-05","0.35036488156","-323.56046408","0.00014701322","0.83173922248","0.002016","8.784946e-05","0.00098","Connectivity","23.9683368057271","146.056451612903","992","0.154119149333887","146.225806451613","PolyDFE.input","0.00631048596972823","0.00115627426995112","0.183230622094373","NetworkConnectivity10polcounts","2.48579273119173e-08","63465.5284262466"
"SIFT10polcounts1","SIFT10polcounts","SIFT10polcounts1_0.445057325581626_PolyDFE.output","0.445057325581626","0.414822931450064","0.317657916926356","0.149792680643849","0.117684616309731","3.65037412825009e-05","5.35092871745135e-06","0.35847097601","-193.59547534","4.185467e-05","0.4861606491","0.000421","0.01831134617","0.00164","SIFT score","0.0124585289603771","0.445057325581626","1077","0.164509251737705","0.445057325581626","PolyDFE.input","0.0075404855061972","0.00156006132408538","0.206891363003514","SIFT10polcounts","2.6533750280275e-08","71046.1716356276"
"SIFT10polcounts10","SIFT10polcounts","SIFT10polcounts10_0.526193551637848_PolyDFE.output","0.526193551637848","0.380604773609703","0.239446346743619","0.149440492265895","0.230463084130782","4.51286613164514e-05","1.74588683510279e-07","0.21761490228","-279.57228291","4.530325e-05","0.17989813798","0.000209","5.237329e-05","6e-05","SIFT score","0.00972337913500052","0.526193238818033","1301","0.162372338470649","0.526193551637848","PolyDFE.input","0.00553543781791655","0.00179765265117841","0.324753472139087","SIFT10polcounts","2.61890868501047e-08","52841.0731691322"
"SIFT10polcounts2","SIFT10polcounts","SIFT10polcounts2_0.464108389025613_PolyDFE.output","0.464108389025613","0.489967476647893","0.22929152030752","0.127628884127377","0.15308430647721","2.73733117146513e-05","4.39128285401047e-07","0.26378368237","-476.09974217","2.781244e-05","0.24105405672","0.000196","5.294053e-05","9e-05","SIFT score","0.00307026540313785","0.464105170549889","1016","0.161141382384458","0.464108389025613","PolyDFE.input","0.00635880488650202","0.00148809451860212","0.234021100688422","SIFT10polcounts","2.59905455458803e-08","61164.5961343618"
"SIFT10polcounts3","SIFT10polcounts","SIFT10polcounts3_0.47288230186104_PolyDFE.output","0.47288230186104","0.494950261227966","0.213241067283428","0.124277471709421","0.167520012769185","1.11858751101757e-05","1.13488984876398e-09","0.24132532809","-590.14628316","1.118701e-05","0.1087432512","6.8e-05","5.21712e-05","0.00013","SIFT score","0.00205903506842546","0.47287508261315","982","0.163105434319527","0.47288230186104","PolyDFE.input","0.00680115822365863","0.00166700372082535","0.245105857856163","SIFT10polcounts","2.63073281160527e-08","64631.7842851224"
"SIFT10polcounts4","SIFT10polcounts","SIFT10polcounts4_0.479268275403709_PolyDFE.output","0.479268275403709","0.453360170029205","0.256314147655986","0.138430080007847","0.151795040186962","8.1569429506434e-05","1.89926904935467e-05","0.28222176812","-325.65692515","0.00010056212","0.59998027803","0.000854","0.0064651687","0.00026","SIFT score","0.00181031188329596","0.479261183502684","1012","0.15902911213594","0.479268275403709","PolyDFE.input","0.0067527114286412","0.00162429700284508","0.240539969760255","SIFT10polcounts","2.56498567961194e-08","65816.2683159974"
"SIFT10polcounts5","SIFT10polcounts","SIFT10polcounts5_0.485371425404984_PolyDFE.output","0.485371425404984","0.440473724105379","0.24924049896021","0.140426766183812","0.1697029004606","0.000145896259568179","1.02140304317766e-05","0.26249688308","-331.346496","0.00015611029","0.36673017447","0.00106","0.00068191257","0.00153","SIFT score","0.00166234986728248","0.48536339389184","1078","0.155772034543321","0.485371425404984","PolyDFE.input","0.00648341640124945","0.00167972124436189","0.259079648815736","SIFT10polcounts","2.51245217005356e-08","64512.8341001534"
"SIFT10polcounts6","SIFT10polcounts","SIFT10polcounts6_0.490979209511883_PolyDFE.output","0.490979209511883","0.463852067219622","0.23994967025855","0.134368678779368","0.16177947398246","4.80875265407299e-05","2.02223345924235e-06","0.26313156263","-391.9291018","5.010976e-05","0.31152519619","0.000347","0.01098382369","0.00024","SIFT score","0.00160474266486808","0.490968515387649","1028","0.158528045001773","0.490979209511883","PolyDFE.input","0.00657482170689636","0.00163258177916629","0.248308144607765","SIFT10polcounts","2.5569039516415e-08","64284.9891044539"
"SIFT10polcounts7","SIFT10polcounts","SIFT10polcounts7_0.496822627156211_PolyDFE.output","0.496822627156211","0.436728151270759","0.262511535330503","0.142814932599133","0.157906568519605","3.76851231893571e-05","1.12715681066522e-06","0.28058343001","-292.8184562","3.881228e-05","0.28256263647","0.00027","0.00018511576","8e-05","SIFT score","0.00176525279517079","0.496814122850522","1095","0.160227916995671","0.496822627156211","PolyDFE.input","0.00676971273385826","0.0016747172201818","0.247383793968954","SIFT10polcounts","2.58432124186566e-08","65488.3052481036"
"SIFT10polcounts8","SIFT10polcounts","SIFT10polcounts8_0.503161268644208_PolyDFE.output","0.503161268644208","0.443302434546055","0.237452631029477","0.138061864554293","0.181156635710174","2.63632301107375e-05","7.09298892953569e-08","0.24654292177","-373.87453244","2.643416e-05","0.16889836358","0.000153","0.00043983293","8e-05","SIFT score","0.00193189643854247","0.503152544081309","1138","0.159375934077031","0.503161268644208","PolyDFE.input","0.00629380512415414","0.00170981688228225","0.271666638631751","SIFT10polcounts","2.5705795818876e-08","61209.9812869103"
"SIFT10polcounts9","SIFT10polcounts","SIFT10polcounts9_0.510711778239602_PolyDFE.output","0.510711778239602","0.456806433190253","0.22324655603533","0.132940550191173","0.186963804513245","4.18642188227958e-05","7.91851177184277e-07","0.23364001944","-457.80821436","4.265607e-05","0.25084337321","0.00025","3.995189e-05","8e-05","SIFT score","0.00256284907517369","0.510701139817236","1088","0.156217499219346","0.510711778239602","PolyDFE.input","0.00643336607023692","0.0017147124090491","0.26653425132793","SIFT10polcounts","2.519637084183e-08","63832.2688475884"
