"Factor","GroupingCategory","Filename","GroupValue","<-100","-100 to -10","-10 to -1","-1 to 0","0 to 1",">1","b","S_d","p_b","S_b","alpha","eps_an","criteria","pretty_names","Variable","source","pi4","pi0","pi04","GroupingVariable","SD","FactorMean","NumGenes","dS","dN","MutationRate","Ne"
"fpkmpolcounts16","fpkmpolcounts","fpkmpolcounts16_868651.985153683_PolyDFE.output","868651.985153683","0.596359744587437","0.175121519557445","0.0994980650006217","0.128944741034496","7.47154562540375e-05","1.21436374600492e-06","0.24851195007","-1399.5531563","7.592982e-05","0.24180351265","0.000639","0.00027195595","1e-04","Expression level","868651.985153683","PolyDFE.input","0.00606488930979435","0.00118357733963116","0.195152339832446","fpkmpolcounts","58453.1152537016","869605.134352458","573","0.153979465216438","0.0228666327369863","2.48353976155545e-08","61050.8577683883"
"fpkmpolcounts17","fpkmpolcounts","fpkmpolcounts17_1120703.3763524_PolyDFE.output","1120703.3763524","0.582877363692448","0.211771169684974","0.105043985635781","0.100084791666798","0.000184183043340114","3.85062766599109e-05","0.31206767234","-708.46280011","0.00022268932","0.56981473949","0.002788","0.00530176514","0.001","Expression level","1120703.3763524","PolyDFE.input","0.00695122526245718","0.00113401196765124","0.163138428814257","fpkmpolcounts","83391.0041080032","1122406.98782391","516","0.153703624369637","0.0230289005016502","2.47909071563931e-08","70098.5367195872"
"fpkmpolcounts18","fpkmpolcounts","fpkmpolcounts18_1528364.55783578_PolyDFE.output","1528364.55783578","0.605749905356351","0.175984141183093","0.0977950512817963","0.12042790268876","4.29707646829591e-05","2.87253170139223e-08","0.25832377478","-1377.0919619","4.299949e-05","0.13677711347","0.000366","1.360668e-05","7e-05","Expression level","1528364.55783578","PolyDFE.input","0.00702869949266915","0.00130005477625092","0.184963772829791","fpkmpolcounts","157956.192224105","1529387.69116911","540","0.15325068770625","0.022097871521875","2.47178528558468e-08","71089.3006530559"
"fpkmpolcounts19","fpkmpolcounts","fpkmpolcounts19_2453704.9365376_PolyDFE.output","2453704.9365376","0.65124984042655","0.166425810137527","0.0872741863484816","0.0949659160674412","7.86791863689462e-05","5.56783363103719e-06","0.28322228029","-1671.9257166","8.424702e-05","0.36808725402","0.001016","0.01295471968","8e-05","Expression level","2453704.9365376","PolyDFE.input","0.0072236955071281","0.00108287332655545","0.149905726990694","fpkmpolcounts","421733.851182855","2457958.17746725","581","0.157762144759259","0.022604968404321","2.54455072192353e-08","70972.2097980759"
"fpkmpolcounts2","fpkmpolcounts","fpkmpolcounts2_1403.58228993056_PolyDFE.output","1403.58228993056","0.169040601939909","0.374000910462475","0.228785394797836","0.22788709508978","0.000268148953159963","1.78487568400776e-05","0.30706636751","-53.857644996","0.00028599771","0.36048377665","0.001421","6.82098e-05","0.00025","Expression level","1403.58228993056","PolyDFE.input","0.00706562229426333","0.00256986145639919","0.363713392730559","fpkmpolcounts","392.478258202507","1403.58228993056","612","0.184390274847826","0.0485909903369565","2.97403669109397e-08","59394.2091856332"
"fpkmpolcounts20","fpkmpolcounts","fpkmpolcounts20_11595177.9655843_PolyDFE.output","11595177.9655843","0.678527708629724","0.162944160506255","0.0805776412882652","0.0777838292857562","0.000154368342071276","1.22919479287331e-05","0.30892646155","-1713.5798128","0.00016666029","0.38358072857","0.002447","0.00018175485","0.00048","Expression level","11595177.9655843","PolyDFE.input","0.00866213576914894","0.00111423944497008","0.128633338782169","fpkmpolcounts","21276737.5168947","11897182.7537792","558","0.162707736032895","0.019901858375","2.62431832311121e-08","82517.9599294924"
"fpkmpolcounts3","fpkmpolcounts","fpkmpolcounts3_3627.46511673825_PolyDFE.output","3627.46511673825","0.214735807689133","0.390139438955927","0.214221362635197","0.180821281569743","7.15090905395455e-05","1.06000594604083e-05","0.34437341742","-68.647686331","8.210915e-05","0.48847448146","0.000541","0.00803879357","9e-05","Expression level","3627.46511673825","PolyDFE.input","0.00721178610308599","0.00221801597595015","0.307554320697481","fpkmpolcounts","992.527551229547","3627.46511673825","548","0.168222661512","0.038574313332","2.71326873406452e-08","66449.2426841427"
"fpkmpolcounts4","fpkmpolcounts","fpkmpolcounts4_9693.84219559246_PolyDFE.output","9693.84219559246","0.307035315418866","0.295058597630375","0.176035320173863","0.221840319896896","3.04068766128207e-05","4.00033871583716e-08","0.25517678048","-137.45063398","3.044688e-05","0.15072101901","0.000142","0.00825808263","9e-05","Expression level","9693.84219559246","PolyDFE.input","0.00682285018192698","0.0022853570204109","0.334956353939087","fpkmpolcounts","2698.20492531493","9693.84219559246","542","0.170277695972763","0.0392159332879377","2.7464144511736e-08","62106.8879372106"
"fpkmpolcounts5","fpkmpolcounts","fpkmpolcounts5_21910.610607979_PolyDFE.output","21910.610607979","0.351673978605186","0.263207818616298","0.160251962567968","0.224704483810547","0.00013875351819137","2.30028818086758e-05","0.23465553875","-203.25055073","0.0001617564","0.51269641512","0.000901","0.01358087851","1e-04","Expression level","21910.610607979","PolyDFE.input","0.00747460313728914","0.0023995448574485","0.321026389411593","fpkmpolcounts","4328.64816055819","21910.610607979","488","0.164820546367491","0.0364919811696113","2.65839590915308e-08","70292.4187435124"
"fpkmpolcounts6","fpkmpolcounts","fpkmpolcounts6_40066.9898378811_PolyDFE.output","40066.9898378811","0.431934666715378","0.239268102539594","0.140506958501365","0.188192225313662","8.44435692824996e-05","1.36033607175401e-05","0.24272319656","-351.63541103","9.804693e-05","0.50629595018","0.000649","0.01799494814","5e-04","Expression level","40066.9898378811","PolyDFE.input","0.00691499133063801","0.00192057082405615","0.277740163685636","fpkmpolcounts","6666.37067753139","40118.7527099293","483","0.166317700420495","0.0337067552887324","2.68254355516927e-08","64444.3527982313"
