"Factor","GroupingCategory","Filename","GroupValue","<-100","-100 to -10","-10 to -1","-1 to 0","0 to 1",">1","b","S_d","p_b","S_b","alpha","eps_an","criteria","pretty_names","SD","FactorMean","NumGenes","dS","Variable","source","pi4","pi0","pi04","GroupingVariable","MutationRate","Ne"
"length15polcounts7","length15polcounts","length15polcounts7_479.015432098765_PolyDFE.output","479.015432098765","0.480920665594162","0.23981554395158","0.130720160493304","0.148504509680954","3.78306248520754e-05","1.28965514789581e-06","0.27477301391","-413.69920519","3.912028e-05","0.29306037597","0.000291","0.00934454546","9e-05","Length","9.26309354464836","478.941358024691","648","0.167207797550296","479.015432098765","PolyDFE.input","0.00748348533195792","0.00171895568946129","0.229699880899152","length15polcounts","2.69689996048865e-08","69371.1802587776"
"length15polcounts8","length15polcounts","length15polcounts8_512.158496732026_PolyDFE.output","512.158496732026","0.450418014333382","0.277469618922937","0.140293736180273","0.131774945113407","3.78491347089449e-05","5.83631529105233e-06","0.3159264392","-273.74419736","4.368545e-05","0.49679185721","0.000401","0.01244817223","1e-04","Length","10.5223728158713","512.071778140294","613","0.161727033834437","512.158496732026","PolyDFE.input","0.00766527465364243","0.00162254839856274","0.211675180848441","length15polcounts","2.60850054571673e-08","73464.3765575318"
"length15polcounts9","length15polcounts","length15polcounts9_552.575757575758_PolyDFE.output","552.575757575758","0.481398451406132","0.252998191627491","0.131571998583795","0.133952748142583","6.66316974382575e-05","1.19785425617414e-05","0.29788547305","-364.47316738","7.861024e-05","0.53152330753","0.000727","0.01659511732","0.00059","Length","14.4271840025988","552.407094594595","592","0.156232303330275","552.575757575758","PolyDFE.input","0.00725578183592938","0.0015548224505124","0.214287376008631","length15polcounts","2.51987586016573e-08","71985.5087965741"
"NetworkConnectivity15polcounts1","NetworkConnectivity15polcounts","NetworkConnectivity15polcounts1_1.30724637681159_PolyDFE.output","1.30724637681159","0.317699999809239","0.282176934440418","0.17107641182608","0.228897536674263","0.000135888031395304","1.32292186046934e-05","0.24359890306","-153.87273649","0.00014911725","0.41282992933","0.000773","0.00275977871","0.00037","Connectivity","0.4616870812369","1.30724637681159","690","0.170323333172507","1.30724637681159","PolyDFE.input","0.00698496149799781","0.00234892208409258","0.336282753278724","NetworkConnectivity15polcounts","2.74715053504044e-08","63565.5146023423"
"NetworkConnectivity15polcounts10","NetworkConnectivity15polcounts","NetworkConnectivity15polcounts10_58.6898638426626_PolyDFE.output","58.6898638426626","0.513330726766906","0.210052361320977","0.120320188762325","0.156142015999792","0.000126264613259486","2.84425367405028e-05","0.24841330399","-649.33624553","0.00015470715","0.59044139928","0.001284","0.0119424118","0.00036","Connectivity","4.45829046066046","58.6551204819277","664","0.161227465555825","58.6898638426626","PolyDFE.input","0.00618915183614783","0.0014561583917109","0.235275919909766","NetworkConnectivity15polcounts","2.60044299283589e-08","59500.9374671805"
"NetworkConnectivity15polcounts11","NetworkConnectivity15polcounts","NetworkConnectivity15polcounts11_75.9672667757774_PolyDFE.output","75.9672667757774","0.527983117761374","0.217998732997668","0.118314150777677","0.135401201983281","0.00022909190031728","7.37045796826985e-05","0.27310439412","-601.82820537","0.00030279648","0.70771610705","0.003042","0.02575416893","0.00078","Connectivity","5.34736973313324","75.9343185550082","609","0.15469599291716","75.9672667757774","PolyDFE.input","0.00684031320475282","0.00143092704028096","0.209190280831982","NetworkConnectivity15polcounts","2.49509665995419e-08","68537.5572271256"
"NetworkConnectivity15polcounts12","NetworkConnectivity15polcounts","NetworkConnectivity15polcounts12_97.7208538587849_PolyDFE.output","97.7208538587849","0.485982337766489","0.226187387546778","0.128014043652667","0.159728609004066","7.87826166995798e-05","8.83941330043214e-06","0.25603929372","-487.82858216","8.762203e-05","0.43595552911","0.000656","0.0001923676","9e-05","Connectivity","7.09892281310786","97.6409836065574","610","0.156318637967033","97.7208538587849","PolyDFE.input","0.00645305031593489","0.00152117866646252","0.235730172862","NetworkConnectivity15polcounts","2.52126835430698e-08","63986.1511063608"
"NetworkConnectivity15polcounts13","NetworkConnectivity15polcounts","NetworkConnectivity15polcounts13_130.942277691108_PolyDFE.output","130.942277691108","0.517879935630517","0.257659473759562","0.121760279717052","0.102416492342869","0.000253373258199741","3.04452918002962e-05","0.34111376851","-379.13792293","0.00028381855","0.44794764107","0.003228","0.00052978733","0.00039","Connectivity","12.5854851874092","130.800312012481","641","0.157251767475949","130.942277691108","PolyDFE.input","0.00655166848193032","0.00118658635336139","0.181112087193366","NetworkConnectivity15polcounts","2.53631883025724e-08","64578.518321234"
"NetworkConnectivity15polcounts14","NetworkConnectivity15polcounts","NetworkConnectivity15polcounts14_199.145658263305_PolyDFE.output","199.145658263305","0.487249675259763","0.277532700556629","0.129821384217401","0.105276538256207","9.67326971239579e-05","2.29690128760174e-05","0.35009186834","-301.46468594","0.00011970171","0.60574603778","0.001432","0.01034218831","0.00042","Connectivity","28.79078497513","198.770308123249","714","0.146686867964557","199.145658263305","PolyDFE.input","0.00571891667359648","0.00106453655211139","0.186143042969348","NetworkConnectivity15polcounts","2.36591722523479e-08","60430.2277843738"
"NetworkConnectivity15polcounts15","NetworkConnectivity15polcounts","NetworkConnectivity15polcounts15_433.164885496183_PolyDFE.output","433.164885496183","0.642143807627445","0.185563261875441","0.0898101592499861","0.0824758373671277","6.93358580061698e-06","2.9419933156305e-10","0.32019947711","-1098.318845","6.93388e-06","0.0993278252","8.3e-05","2.83908e-06","1e-04","Connectivity","161.760005746092","432.122913505311","659","0.148510787871324","433.164885496183","PolyDFE.input","0.0054590704473012","0.000787348060223644","0.144227495839129","NetworkConnectivity15polcounts","2.39533528824716e-08","56976.0575282134"
