"Factor","GroupingCategory","Filename","GroupValue","<-100","-100 to -10","-10 to -1","-1 to 0","0 to 1",">1","b","S_d","p_b","S_b","alpha","eps_an","criteria","pretty_names","Variable","source","pi4","pi0","pi04","GroupingVariable","SD","FactorMean","NumGenes","MutationRate","dnds","Ne"
"dnds3","dnds","dnds3_0.0542070430465835_PolyDFE.output","0.0542070430465835","0.749418596937835","0.159826456080274","0.0581560526044941","0.0325683842473969","2.73922735836152e-05","3.11785641637918e-06","0.44534771631","-1277.4139893","3.051013e-05","0.43842092289","1.52203331418186e-06","0.00423307883","8e-05","dn/ds","0.0542070430465835","PolyDFE.input","0.012635165080991","0.000964670453241955","0.0763480688268376","dnds","0.00413841130697386","0.0542070430465835","407","1.16186434368253e-08","0.0542070430465835","271872.640504309"
"dnds4","dnds","dnds4_0.0676672644782277_PolyDFE.output","0.0676672644782277","0.736222615210787","0.153211526651289","0.0644486990649932","0.0461132356729317","3.92253401193532e-06","8.65988059040035e-10","0.38002032608","-1701.5759412","3.9234e-06","0.11878462377","0","0.00469650151","8e-05","dn/ds","0.0676672644782277","PolyDFE.input","0.013786180436768","0.0012774417743854","0.0926610369162467","dnds","0.00408736323976832","0.0676672644782277","426","1.17906530089628e-08","0.0676672644782277","292311.639276643"
"dnds5","dnds","dnds5_0.0810549306493165_PolyDFE.output","0.0810549306493165","0.712363349653804","0.175876668107842","0.0666516243053163","0.0396509680230372","0.000809229631337227","0.00464816027866277","0.42877195008","-1043.0055033","0.00545738991","6.2305631864","0.344428951405067","0.00373438168","0.00265","dn/ds","0.0810549306493165","PolyDFE.input","0.0135542547300259","0.00133258583866609","0.0983149472404481","dnds","0.00329158797182338","0.0810549306493165","402","1.14828885873662e-08","0.0810549306493165","295096.800489266"
"dnds6","dnds","dnds6_0.0924462970229913_PolyDFE.output","0.0924462970229913","0.664825931759225","0.20128452159353","0.0809612827445656","0.0527101428526797","0.000101047246928609","0.000117073803071355","0.40472652356","-782.28923042","0.00021812105","1.60708234117","0.0011005894274451","0.00841502318","0.00041","dn/ds","0.0924462970229913","PolyDFE.input","0.0135241588814879","0.00149304202402688","0.110398142842774","dnds","0.00329438031226858","0.0924462970229913","398","1.13386122531852e-08","0.0924462970229913","298188.141976741"
"dnds7","dnds","dnds7_0.103536976965101_PolyDFE.output","0.103536976965101","0.668015605203733","0.18776315677588","0.0820432421403522","0.062121454460034","3.13006464708332e-05","2.52407735291671e-05","0.36600108672","-998.13074601","5.654142e-05","1.23990595237","9.44637573032801e-05","0.0106418039","0.00051","dn/ds","0.103536976965101","PolyDFE.input","0.0123058984544377","0.00147785987885773","0.120093618871428","dnds","0.00331320950272864","0.103536976965101","416","1.10693716006216e-08","0.103536976965101","277926.762657119"
"dnds8","dnds","dnds8_0.116366842245104_PolyDFE.output","0.116366842245104","0.659364114851067","0.174396725929371","0.0851392139465775","0.0798344027329844","0.000156828529366271","0.00110871401063373","0.3154436753","-1347.8901379","0.00126554254","7.55857207983","0.0863220334939583","0.00010879185","0.00043","dn/ds","0.116366842245104","PolyDFE.input","0.0124916201908076","0.00176056193739109","0.140939438639567","dnds","0.00388386350506756","0.116366842245104","439","1.09474011182439e-08","0.116366842245104","285264.51291691"
"dnds9","dnds","dnds9_0.129750346026819_PolyDFE.output","0.129750346026819","0.650029991851796","0.180773244525131","0.0871458823194429","0.0795370853936304","0.000277080624359605","0.0022367152856404","0.32157977207","-1183.8842099","0.00251379591","8.56270492461","0.17763426130484","0.00082129768","0.00195","dn/ds","0.129750346026819","PolyDFE.input","0.0111905730366687","0.00164296483205434","0.146816863325118","dnds","0.00386479710056565","0.129750346026819","421","1.09547973799756e-08","0.129750346026819","255380.648507568"
"MeanSIFT1","MeanSIFT","MeanSIFT1_0.442864103534998_PolyDFE.output","0.442864103534998","0.72812860592723","0.149125338669136","0.0628698480847614","0.0451818179488724","0.00246831643725243","0.0122260729327476","0.37889827235","-1764.822805","0.01469438937","5.43788727444","0.460046472638618","0.00022414991","0.00037","SIFT score","0.442864103534998","PolyDFE.input","0.0125637158621892","0.00144819819598687","0.115268302138642","MeanSIFT","0.0125275894345982","0.442864103534998","336","1.07678571428572e-08","0.137153402240598","291694.89563955"
"MeanSIFT10","MeanSIFT","MeanSIFT10_0.492444306514699_PolyDFE.output","0.492444306514699","0.565805866496925","0.233260418553457","0.10441900342181","0.0806171947478078","0.00908656360376525","0.0068109531762347","0.36157153985","-504.81435025","0.01589751678","1.17975886466","0.0125927201859912","0.01132135107","1e-04","SIFT score","0.492444306514699","PolyDFE.input","0.011992174347464","0.00206898978699215","0.172528327811518","MeanSIFT","0.000793547572560411","0.492444306514699","324","1.03898553435591e-08","0.190189863382569","288554.892029806"
"MeanSIFT11","MeanSIFT","MeanSIFT11_0.495387562449127_PolyDFE.output","0.495387562449127","0.629462047002457","0.172837127378624","0.0925278515883835","0.105028915590536","0.000135422949232855","8.63549076712822e-06","0.27454037742","-1468.4866619","0.00014405844","0.35532328392","1.21902263307994e-06","0.00438840726","1e-04","SIFT score","0.495387562449127","PolyDFE.input","0.011381560029835","0.0019454183710061","0.170927216120329","MeanSIFT","0.000880634087783418","0.495387562449127","345","1.05135704874835e-08","0.187454329304568","270639.742306974"
"MeanSIFT12","MeanSIFT","MeanSIFT12_0.498200805399004_PolyDFE.output","0.498200805399004","0.595297486163662","0.211657107796219","0.0999188031881837","0.086375584631935","0.00160710362608407","0.00514391459391594","0.33427697778","-698.53784533","0.00675101822","3.67810738433","0.125829215112997","7.327037e-05","0.00026","SIFT score","0.498200805399004","PolyDFE.input","0.0122816162333905","0.00204731110168356","0.166697205219413","MeanSIFT","0.000734382140645156","0.498200805399004","331","1.11430315236962e-08","0.179612404492646","275544.770004308"
"MeanSIFT13","MeanSIFT","MeanSIFT13_0.500790373794304_PolyDFE.output","0.500790373794304","0.593557336214852","0.208695779710691","0.0958405443199576","0.0786145368545003","0.0232899249279934","1.87797200656981e-06","0.34668453437","-691.85918095","0.0232918029","0.10609331805","0","0.00761366997","0.00146","SIFT score","0.500790373794304","PolyDFE.input","0.0121379935698626","0.00211199463155101","0.173998661261024","MeanSIFT","0.000802563190675492","0.500790373794304","324","1.05272789624641e-08","0.218022573536398","288250.971906928"
"MeanSIFT14","MeanSIFT","MeanSIFT14_0.503724801931402_PolyDFE.output","0.503724801931402","0.598224923060881","0.207134594035724","0.100138818794182","0.0908780280792134","0.000349906909637987","0.00327372912036206","0.32301989206","-756.60633594","0.00362363603","9.84753931401","0.242667666051347","0.00032016953","0.00022","SIFT score","0.503724801931402","PolyDFE.input","0.0119359415474582","0.0020036782647831","0.167869309414454","MeanSIFT","0.000794606734522978","0.503724801931402","347","1.09062090647105e-08","0.184806762351906","273604.271581397"
"MeanSIFT15","MeanSIFT","MeanSIFT15_0.506392811996799_PolyDFE.output","0.506392811996799","0.609860366351352","0.17878011376929","0.0972308197453352","0.114000417014023","0.000119950199464314","8.332920535703e-06","0.26802266572","-1294.6923348","0.00012828312","0.36576100988","1.12622129290269e-06","0.01389355934","9e-05","SIFT score","0.506392811996799","PolyDFE.input","0.0115393202988193","0.00213168843272918","0.184732581948288","MeanSIFT","0.000782771951515795","0.506392811996799","328","1.06671286031042e-08","0.187889363347057","270441.107634656"
"MeanSIFT16","MeanSIFT","MeanSIFT16_0.509699867533528_PolyDFE.output","0.509699867533528","0.534890044805335","0.238815272743563","0.117591500673114","0.108592893587988","8.16662934922663e-05","2.86218965077634e-05","0.31929905665","-472.98824757","0.00011028819","0.74133116332","8.08234652964586e-06","0.01199720367","8e-05","SIFT score","0.509699867533528","PolyDFE.input","0.0115522549893182","0.00220618542039278","0.190974439400163","MeanSIFT","0.00110257063909991","0.509699867533528","353","1.03510172547e-08","0.219113313751895","279012.552705212"
"MeanSIFT17","MeanSIFT","MeanSIFT17_0.513724261312731_PolyDFE.output","0.513724261312731","0.517428726532616","0.245295284614971","0.118780983927552","0.105425569384862","0.00209147214077821","0.0109779633992217","0.32845873801","-419.07229737","0.01306943554","5.73439202822","0.307620224997003","0.00058747695","0.00032","SIFT score","0.513724261312731","PolyDFE.input","0.0116908635411353","0.00242150133567692","0.207127670865087","MeanSIFT","0.00126835128338797","0.513724261312731","388","1.1143054253879e-08","0.219114665224977","262290.375573322"
"MeanSIFT18","MeanSIFT","MeanSIFT18_0.518619031576087_PolyDFE.output","0.518619031576087","0.475450931024342","0.251355368213617","0.131292743852426","0.134849102229615","0.000919028299459335","0.00613282638054069","0.29599497571","-361.48425265","0.00705185468","7.16153133614","0.219489488469965","0.0030099435","0.00248","SIFT score","0.518619031576087","PolyDFE.input","0.0108789520431753","0.00259163220292857","0.238224434912771","MeanSIFT","0.00162614189317906","0.518619031576087","374","1.10024577324042e-08","0.219539631831009","247193.679534319"
