"Factor","GroupingCategory","Filename","GroupValue","<-100","-100 to -10","-10 to -1","-1 to 0","0 to 1",">1","b","S_d","p_b","S_b","alpha","eps_an","criteria","pretty_names","Variable","source","pi4","pi0","pi04","GroupingVariable","SD","FactorMean","NumGenes","MutationRate","dnds","Ne"
"MeanSIFT2","MeanSIFT","MeanSIFT2_0.470596576366895_PolyDFE.output","0.470596576366895","0.671039743386592","0.182164000313933","0.079169926820453","0.0594592051590218","0.00151966546938487","0.00664745885061513","0.3680003104","-1059.7420912","0.00816712432","4.85714616841","0.269796406397775","0.00051522134","0.00087","SIFT score","0.461108107303264","PolyDFE.input","0.012078498983523","0.00157719737908311","0.130578922201729","MeanSIFT","0.00282101917224055","0.470605475174616","619","1.08721463422594e-08","0.152186831235048","277739.52362503"
"MeanSIFT3","MeanSIFT","MeanSIFT3_0.478557363991558_PolyDFE.output","0.478557363991558","0.674434370473691","0.178192352570367","0.0801935768620154","0.0642941635639271","0.000665198701378267","0.00222033782862174","0.35196304258","-1179.0679714","0.00288553653","3.81604385731","0.0842220961371399","0.00913294531","0.00056","SIFT score","0.468211141336094","PolyDFE.input","0.0122173729759218","0.00151618438781656","0.124100687668673","MeanSIFT","0.00197923980560423","0.478557363991558","588","1.04525183810898e-08","0.154574601343313","292211.229162365"
"MeanSIFT4","MeanSIFT","MeanSIFT4_0.485198456808193_PolyDFE.output","0.485198456808193","0.62781551408627","0.202975034433754","0.0869915881602201","0.0631089650397553","0.0125035935223256","0.0066053047576744","0.37682975783","-747.93695899","0.01910889828","0.94137047908","0.00602827409173287","0.00604941277","8e-05","SIFT score","0.473044375712226","PolyDFE.input","0.0124173212232887","0.001599473394217","0.128809858862086","MeanSIFT","0.00190957390426849","0.485198456808193","681","1.04026609709429e-08","0.162519319315319","298416.944904126"
"MeanSIFT5","MeanSIFT","MeanSIFT5_0.491167561061298_PolyDFE.output","0.491167561061298","0.674918827748191","0.168941807620509","0.0807308912756077","0.0727172590456924","0.000239374762290967","0.002451839547709","0.32453658745","-1462.5198941","0.00269121431","10.7349202062","0.247922288220922","0.00598705523","0.00076","SIFT score","0.476825555971563","PolyDFE.input","0.0117053655315385","0.00158080049442611","0.135049220818167","MeanSIFT","0.00152182947372161","0.491167561061298","631","1.05534905313035e-08","0.180166218596359","277286.58818659"
"MeanSIFT6","MeanSIFT","MeanSIFT6_0.4967610992742_PolyDFE.output","0.4967610992742","0.65795447603782","0.167618285634366","0.0857499242217261","0.0885667123160877","7.74524594631121e-05","3.31493305368857e-05","0.29423150087","-1601.6227713","0.00011060179","0.82993492139","1.88174982214664e-05","0.00650466043","1e-04","SIFT score","0.480265769200472","PolyDFE.input","0.0119714802348244","0.00176082461019678","0.147084953210266","MeanSIFT","0.00162261903866642","0.4967610992742","675","1.08262326973438e-08","0.183811943555915","276446.123261363"
"MeanSIFT7","MeanSIFT","MeanSIFT7_0.502303602680781_PolyDFE.output","0.502303602680781","0.643364939017222","0.200369637244402","0.0853650115237188","0.0614059306746578","0.00129097985055593","0.00820350168944406","0.37894099357","-795.53945597","0.00949448154","6.84230213606","0.403729028977959","0.0110614404","0.00021","SIFT score","0.483542651603808","PolyDFE.input","0.0108074500689408","0.0016916464461511","0.156525955277154","MeanSIFT","0.00167275718398123","0.502303602680781","672","1.07189153439154e-08","0.200621499938696","252064.918002074"
"MeanSIFT8","MeanSIFT","MeanSIFT8_0.50809663639283_PolyDFE.output","0.50809663639283","0.678439963561427","0.158589383402562","0.0804165001696763","0.0817616984163344","0.000407185972268076","0.000385268477731904","0.29758124855","-1922.9281603","0.00079245445","1.38658832366","0.00158456768588029","0.01566770888","2e-04","SIFT score","0.48684940627884","PolyDFE.input","0.0104937639828025","0.00162681020100229","0.155026376014207","MeanSIFT","0.001905856780121","0.50809663639283","679","1.05064042486723e-08","0.204077993870135","249699.224740201"
"MeanSIFT9","MeanSIFT","MeanSIFT9_0.516107895266829_PolyDFE.output","0.516107895266829","0.599285061466681","0.207847950880006","0.100014052893183","0.0899145549301301","0.000218542344318617","0.00271983748568139","0.32517598795","-749.85354134","0.00293837983","12.9389170816","0.265978556000104","0.01499259498","0.00115","SIFT score","0.489820116348262","PolyDFE.input","0.0114677576099564","0.00186448668054884","0.162585114192688","MeanSIFT","0.00284848913253341","0.516107895266829","763","1.10699127579862e-08","0.219427461420871","258984.823563385"
"norm.exp1","norm.exp","norm.exp1_-9.51592373506144_PolyDFE.output","-9.51592373506144","0.468878639187692","0.253589647660211","0.134576245344922","0.142703598567175","0.000153883687405543","9.79855525944373e-05","0.28920708451","-349.85603862","0.00025186924","1.05922102791","9.40604177512196e-05","0.00682886634","0.00124","Expression level","-10.0806327555349","PolyDFE.input","0.0130734904260033","0.00280601641790196","0.214634066838093","norm.exp","0.66282950385748","-9.51592373506144","899","1.16979584499051e-08","0.255888570780008","279396.83838827"
"norm.exp10","norm.exp","norm.exp10_-3.44228953862949_PolyDFE.output","-3.44228953862949","0.733081950604176","0.147909629647716","0.0632260054465162","0.0465847795915925","0.00197383450598554","0.00722380020401447","0.37261245415","-1868.6636415","0.00919763471","4.13966919684","0.274008594702613","0.00066549524","0.00024","Expression level","-6.13772280966613","PolyDFE.input","0.0109268722530598","0.00188893927715108","0.172870994865172","norm.exp","0.838647970527632","-3.44228953862949","994","1.04951832205354e-08","0.138857826461233","260283.027543525"
"norm.exp2","norm.exp","norm.exp2_-8.06587838522702_PolyDFE.output","-8.06587838522702","0.521916140445138","0.222477019394724","0.119451715873493","0.133118766276645","0.00033456282199118","0.00270179518800884","0.27856827998","-557.6962959","0.00303635801","8.56587267287","0.138036087335712","0.0002184516","0.00047","Expression level","-8.98414591016635","PolyDFE.input","0.0124766538553519","0.00314021626935389","0.251687375939092","norm.exp","0.285622744825422","-8.06587838522702","894","1.12796646555035e-08","0.234450955474401","276529.804661887"
"norm.exp3","norm.exp","norm.exp3_-7.25427768970338_PolyDFE.output","-7.25427768970338","0.546723244829383","0.206991911986842","0.113244135718815","0.13277784773496","0.000162350481841322","0.000100509248158631","0.26815159899","-730.17574699","0.00026285973","1.04018137527","9.73949289349036e-05","0.00989420351","0.00081","Expression level","-8.31295728642703","PolyDFE.input","0.012057319678774","0.00277560899370845","0.230201161423521","norm.exp","0.1946252385959","-7.25427768970338","884","1.11518236665296e-08","0.216985390989129","270299.281071"
"norm.exp4","norm.exp","norm.exp4_-6.67264217728496_PolyDFE.output","-6.67264217728496","0.541714632635235","0.212076985749978","0.114760389342184","0.130979847312603","0.000252421507532352","0.000215723452467675","0.27361397979","-670.91134008","0.00046814496","1.29068777565","0.00045185138204466","0.00927427991","0.00366","Expression level","-7.82209386937635","PolyDFE.input","0.0119203657959827","0.00248946450420456","0.208841284471617","norm.exp","0.144344487902591","-6.67264217728496","899","1.09562364467815e-08","0.214058984211328","271999.556003659"
"norm.exp5","norm.exp","norm.exp5_-6.24340016215024_PolyDFE.output","-6.24340016215024","0.579410475983985","0.202615664219625","0.105563392033606","0.111715253702784","0.000409589568301949","0.000285624491698","0.28921569002","-814.57122993","0.00069521406","1.12417424554","0.000432897489362957","0.01401301473","0.00454","Expression level","-7.42540856065444","PolyDFE.input","0.0114892826201411","0.0025114241134614","0.218588418136638","norm.exp","0.116406920887608","-6.24340016215024","917","1.03231882621196e-08","0.204487136838532","278239.685463754"
